name,inchikey
Caffeic acid 3-O-glucuronide,BSOMSDFTZKNUHY-UHFFFAOYSA-N
Caffeic acid 3-sulfate,VWQNTRNACRFUCQ-UHFFFAOYSA-N
Caffeic acid 4-O-glucuronide,LTGOIJNQWZWJRF-UHFFFAOYSA-N
Caffeic acid 4-sulfate,SNVAIAITQIIEMQ-UHFFFAOYSA-N
Caffeoyl C1-glucuronide,VMGJMCCDXJNCOK-UHFFFAOYSA-N
Ferulic acid,KSEBMYQBYZTDHS-UHFFFAOYSA-N
Ferulic acid 4-O-glucuronide,TWSIWBHKRJLZCF-UHFFFAOYSA-N
Ferulic acid 4-sulfate,PZPATWACAAOHTJ-UHFFFAOYSA-N
Feruloyl C1-glucuronide,QJPVKEBTJJKZFP-UHFFFAOYSA-N
Feruloylglycine,CLGNQAIRBLDHIN-UHFFFAOYSA-N
Isoferulic acid,QURCVMIEKCOAJU-UHFFFAOYSA-N
Isoferulic acid 3-O-glucuronide,SHJZLGVIOYFHCB-UHFFFAOYSA-N
Isoferulic acid 3-sulfate,DCMKMHVTKFJMAU-UHFFFAOYSA-N
Isoferuloyl C1-glucuronide,RBJXXYNRHTWXDN-UHFFFAOYSA-N
m-Coumaric acid,KKSDGJDHHZEWEP-UHFFFAOYSA-N
p-Coumaric acid,NGSWKAQJJWESNS-UHFFFAOYSA-N
Rosmarinic acid,DOUMFZQKYFQNTF-UHFFFAOYSA-N
Sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N
2-Hydroxy-2-phenylacetic acid,IWYDHOAUDWTVEP-UHFFFAOYSA-N
2-Hydroxyphenylacetic acid,CCVYRRGZDBSHFU-UHFFFAOYSA-N
"3,4-Dihydroxyphenylacetic acid",CFFZDZCDUFSOFZ-UHFFFAOYSA-N
3-Hydroxyphenylacetic acid,FVMDYYGIDFPZAX-UHFFFAOYSA-N
4-Hydroxymandelic acid,YHXHKYRQLYQUIH-UHFFFAOYSA-N
4-Hydroxyphenylacetic acid,XQXPVVBIMDBYFF-UHFFFAOYSA-N
Homovanillic acid,QRMZSPFSDQBLIX-UHFFFAOYSA-N
Homovanillic acid 4-sulfate,IACOAKYXFIWAQN-UHFFFAOYSA-N
Phenacetylglycine,UTYVDVLMYQPLQB-UHFFFAOYSA-N
Phenylacetic acid,WLJVXDMOQOGPHL-UHFFFAOYSA-N
